ID,Year,Beef_price,Eggs_price,Flour_price,Rice_price,CPI,Mortgage_rate,US_ur,NASDAQ,disposable_income,Personal_consumption_expenditure,personal_savings
1,Jan-02,1.734,0.973,0.319,,177.7,6.9975,5.7,1976.768571,9951.9,7184.6,5.7
2,Feb-02,1.7,0.996,0.318,,178,6.8925,5.7,1799.718947,9966.6,7225.2,5.5
3,Mar-02,1.74,1.003,0.31,,178.5,7.014,5.7,1863.0455,9973.3,7243.4,5.6
4,Apr-02,1.784,1.047,0.307,,179.3,6.985,5.9,1758.802273,10007.2,7312.5,5.5
5,May-02,1.737,0.997,0.323,0.472,179.5,6.806,5.8,1660.310909,10047.9,7288.9,6.2
6,Jun-02,1.719,0.975,0.325,0.47,179.6,6.65,5.8,1505.4875,10078.5,7322.5,6.2
7,Jul-02,1.659,0.99,0.32,0.475,180,6.485,5.8,1346.085455,10053.5,7387.3,5.4
8,Aug-02,1.669,1.053,0.322,0.482,180.5,6.29,5.7,1327.360455,10056.6,7412.6,5.4
9,Sep-02,1.676,1.055,0.322,0.471,180.8,6.0925,5.7,1251.069,10068.3,7391.5,5.9
10,Oct-02,1.721,1.039,0.289,0.466,181.2,6.1125,5.7,1241.911739,10097.3,7435.2,5.8
11,Nov-02,1.721,1.08,0.291,0.461,181.5,6.068,5.9,1409.1515,10124.3,7463.8,5.8
12,Dec-02,1.693,1.176,0.292,0.458,181.8,6.0475,6,1387.151905,10148.6,7519.9,5.4
13,Jan-03,1.722,1.175,0.316,0.441,182.6,5.916,5.8,1389.559524,10133.6,7541.3,5.4
14,Feb-03,1.778,1.189,0.299,0.447,183.6,5.8425,5.9,1313.261579,10097.6,7548.6,5.3
15,Mar-03,1.858,1.209,0.319,0.44,183.9,5.745,5.9,1348.50381,10121.5,7611.5,5
16,Apr-03,1.855,1.131,0.318,0.44,183.2,5.8125,6,1409.830952,10181.4,7634.5,5.1
17,May-03,1.856,1.009,0.327,0.429,182.9,5.484,6.1,1524.182857,10261.2,7650.3,5.5
18,Jun-03,1.932,1.199,0.327,0.428,183.1,5.23,6.3,1631.750952,10291.2,7699.6,5.3
19,Jul-03,1.878,1.15,0.328,0.451,183.7,5.6325,6.2,1716.851364,10415.5,7757,6.1
20,Aug-03,2.006,1.277,0.329,0.454,184.5,6.264,6.1,1724.822857,10487.7,7852.1,5.9
21,Sep-03,2.022,1.257,0.317,0.461,185.1,6.1475,6.1,1856.224762,10369.1,7853.7,5.1
22,Oct-03,2.01,1.33,0.288,0.463,184.9,5.952,6,1907.891304,10408.4,7867.4,5.3
23,Nov-03,2.256,1.448,0.285,0.49,185,5.9325,5.8,1939.253158,10470.9,7922.6,5.3
24,Dec-03,2.232,1.559,0.287,0.482,185.5,5.876,5.7,1956.984545,10479,7950.4,5.2
25,Jan-04,2.26,1.573,0.307,0.482,186.3,5.7125,5.7,2098.004,10472.7,8007.1,4.9
26,Feb-04,2.25,1.583,0.302,0.487,186.7,5.635,5.6,2048.36,10491.3,8040.4,4.9
27,Mar-04,2.196,1.625,0.3,0.504,187.1,5.445,5.8,1979.478696,10533.6,8098.8,4.7
28,Apr-04,2.089,1.562,0.283,0.503,187.4,5.83,5.6,2021.322857,10569.6,8107.2,5.1
29,May-04,2.125,1.372,0.297,0.528,188.2,6.27,5.6,1930.089,10623.3,8176.5,5.1
30,Jun-04,2.078,1.311,0.312,0.538,188.9,6.2875,5.6,2000.979524,10631.8,8157.6,5.6
31,Jul-04,2.095,1.253,0.324,0.56,189.1,6.056,5.5,1912.424286,10658.1,8236.9,5
32,Aug-04,2.13,1.277,0.324,0.556,189.2,5.8675,5.4,1821.538182,10693.5,8271.6,5
33,Sep-04,2.121,1.145,0.307,0.565,189.8,5.754,5.4,1884.730952,10701.4,8341.5,4.4
34,Oct-04,2.21,1.089,0.299,0.569,190.8,5.7225,5.5,1938.252381,10707.4,8397.1,4.3
35,Nov-04,2.216,1.085,0.291,0.572,191.7,5.73,5.4,2062.87,10677.3,8444.5,3.8
36,Dec-04,2.14,1.199,0.285,0.572,191.7,5.752,5.4,2149.531818,11072.9,8504.4,6.6
37,Jan-05,2.191,1.211,0.325,0.597,191.6,5.71,5.3,2071.8715,10670.3,8497.7,3.2
38,Feb-05,2.229,1.284,0.326,0.575,192.4,5.6275,5.4,2065.735789,10677.1,8559.1,2.9
39,Mar-05,2.218,1.132,0.326,0.57,193.1,5.928,5.2,2030.433636,10717.4,8598.4,3.1
40,Apr-05,2.309,1.164,0.322,0.584,193.7,5.855,5.2,1957.492857,10751.9,8678.4,2.7
41,May-05,2.363,1.185,0.329,0.552,193.6,5.72,5.1,2005.217143,10799.8,8671.6,3.2
42,Jun-05,2.338,1.139,0.337,0.547,193.7,5.582,5,2074.017273,10824.4,8753.4,2.6
43,Jul-05,2.299,1.165,0.34,0.553,194.9,5.695,5,2145.139,10839,8853.8,2.1
44,Aug-05,2.422,1.166,0.341,0.532,196.1,5.82,4.9,2157.848261,10856.6,8850.1,2.6
45,Sep-05,2.377,1.279,0.329,0.544,198.8,5.774,5,2144.611905,10815.7,8900.4,2.7
46,Oct-05,2.206,1.264,0.311,0.541,199.1,6.065,5,2087.092857,10870.2,8938.5,2.9
47,Nov-05,2.302,1.279,0.298,0.53,198.1,6.33,5,2202.835714,10937.8,8946.2,3.2
48,Dec-05,2.303,1.35,0.303,0.524,198.1,6.272,4.9,2246.087143,10976.2,8981.1,3.1
49,Jan-06,2.277,1.449,0.328,0.532,199.3,6.145,4.7,2289.9915,11096.7,9071.6,3.7
50,Feb-06,2.188,1.328,0.326,0.534,199.4,6.2525,4.8,2273.666316,11151.4,9096,3.9
51,Mar-06,2.251,1.302,0.326,0.534,199.7,6.324,4.7,2300.255652,11195.7,9132.9,4.1
52,Apr-06,2.228,1.283,0.32,0.538,200.7,6.5075,4.7,2338.677368,11190.3,9191.6,3.8
53,May-06,2.24,1.206,0.331,0.549,201.3,6.5975,4.6,2245.281818,11182.7,9231.8,3.6
54,Jun-06,2.237,1.242,0.336,0.549,201.8,6.682,4.6,2137.413636,11198.2,9259.6,3.7
55,Jul-06,2.147,1.213,0.339,0.561,202.9,6.7625,4.7,2086.2075,11196.3,9343.8,3.1
56,Aug-06,2.213,1.244,0.341,0.565,203.8,6.524,4.7,2117.77087,11189.6,9342.2,3.3
57,Sep-06,2.202,1.254,0.341,0.55,202.8,6.4025,4.5,2221.939,11252.3,9375.4,3.2
58,Oct-06,2.206,1.257,0.321,0.568,201.9,6.3575,4.4,2330.174545,11306,9393.6,3.2
59,Nov-06,2.206,1.354,0.317,0.555,202,6.24,4.5,2408.7,11353.1,9400.2,3.6
60,Dec-06,2.259,1.543,0.318,0.555,203.1,6.135,4.4,2431.908,11406.8,9488.3,3.5
61,Jan-07,2.185,1.549,0.346,0.563,203.437,6.2175,4.6,2453.187,11403.7,9538.7,3.2
62,Feb-07,2.304,1.746,0.356,0.554,204.226,6.285,4.5,2479.864211,11439.6,9566,3.6
63,Mar-07,2.292,1.634,0.357,0.548,205.288,6.156,4.4,2401.490909,11475,9611.7,3.9
64,Apr-07,2.254,1.616,0.354,0.556,205.904,6.18,4.5,2499.568,11490.1,9643.6,3.8
65,May-07,2.307,1.504,0.351,0.544,206.755,6.262,4.4,2562.140909,11495.5,9685.8,3.6
66,Jun-07,2.333,1.373,0.35,0.529,207.234,6.6575,4.6,2595.39619,11488.4,9706.8,3.5
67,Jul-07,2.366,1.502,0.353,0.547,207.603,6.695,4.7,2655.07619,11500.4,9751.1,3.4
68,Aug-07,2.395,1.634,0.355,0.551,207.667,6.572,4.6,2539.498696,11506.2,9798.9,3.1
69,Sep-07,2.372,1.825,0.36,0.546,208.547,6.3825,4.7,2634.47,11527.1,9845.1,3.1
70,Oct-07,2.26,1.771,0.355,0.555,209.19,6.375,4.7,2780.415652,11523.6,9882.7,3
71,Nov-07,2.289,1.862,0.388,0.544,210.834,6.208,4.7,2662.802381,11512.3,9955.9,2.8
72,Dec-07,2.234,2.099,0.398,0.551,211.445,6.095,5,2661.5485,11552.1,9972.8,3.2
73,Jan-08,2.328,2.175,0.421,0.568,212.174,5.758,5,2418.09381,11553.4,9996.4,3.2
74,Feb-08,2.381,2.168,0.455,0.583,212.687,5.9175,4.9,2325.8255,11547.6,9981.7,3.6
75,Mar-08,2.293,2.203,0.489,0.584,213.448,5.97,5.1,2254.818,11545.3,10035.3,3.4
76,Apr-08,2.323,2.069,0.518,0.608,213.942,5.9175,5,2368.099545,11500.7,10070.3,2.9
77,May-08,2.313,1.93,0.534,0.704,215.208,6.036,5.4,2483.240952,12060.9,10132.3,7.3
78,Jun-08,2.269,1.92,0.529,0.753,217.463,6.32,5.6,2427.454286,11755.3,10187.1,5.1
79,Jul-08,2.258,2.011,0.544,0.795,219.016,6.426,5.8,2278.137273,11574,10185.1,4
80,Aug-08,2.371,1.854,0.539,0.854,218.69,6.4775,6.1,2389.267143,11506.9,10175.7,3.5
81,Sep-08,2.419,1.978,0.532,0.853,218.877,6.0375,6.1,2205.203333,11531.5,10116.4,4.3
82,Oct-08,2.402,1.858,0.521,0.856,216.995,6.2,6.5,1730.319565,11616.7,10034.1,5.2
83,Nov-08,2.357,1.838,0.494,0.82,213.153,6.0875,6.8,1542.695789,11713.8,9885.2,6.3
84,Dec-08,2.406,1.834,0.504,0.813,211.398,5.286,7.3,1525.890455,11655.4,9801.5,6.2
85,Jan-09,2.357,1.85,0.517,0.797,211.933,5.0475,7.8,1537.2005,11718,9847.2,6.2
86,Feb-09,2.436,1.795,0.509,0.783,212.705,5.13,8.3,1485.976842,11598.7,9824.5,5.6
87,Mar-09,2.269,1.693,0.503,0.774,212.495,5.0025,8.7,1432.233182,11593.4,9773.2,5.9
88,Apr-09,2.251,1.774,0.485,0.757,212.709,4.81,9,1641.147619,11660.2,9772.5,6.6
89,May-09,2.257,1.501,0.515,0.773,213.022,4.8575,9.4,1726.0775,11826.7,9791.6,7.9
90,Jun-09,2.234,1.529,0.516,0.766,214.79,5.42,9.5,1826.988182,11610.9,9852.4,6.2
91,Jul-09,2.147,1.495,0.519,0.756,214.726,5.222,9.5,1873.837727,11560.4,9886.3,5.5
92,Aug-09,2.134,1.632,0.517,0.752,215.445,5.1925,9.6,1997.155238,11538.6,10004.1,4.5
93,Sep-09,2.138,1.627,0.51,0.76,215.861,5.0575,9.8,2084.747143,11573.1,9927.8,5.6
94,Oct-09,2.177,1.595,0.5,0.751,216.509,4.952,10,2122.849545,11538.1,9976.7,5.2
95,Nov-09,2.062,1.705,0.458,0.768,217.234,4.875,9.9,2143.5325,11571,9985.7,5.6
96,Dec-09,2.186,1.772,0.464,0.751,217.347,4.93,9.9,2220.6,11630,10052.6,5.6
97,Jan-10,2.279,1.789,0.491,0.754,217.488,5.03,9.8,2267.774737,11644.6,10056.1,5.9
98,Feb-10,2.277,1.872,0.496,0.759,217.281,4.99,9.8,2194.44,11655.6,10093.4,5.6
99,Mar-10,2.24,1.822,0.479,0.764,217.353,4.9675,9.9,2362.243913,11702.1,10156,5.6
100,Apr-10,2.364,1.779,0.473,0.759,217.403,5.098,9.9,2475.72,11799.8,10182.3,6.2
101,May-10,2.309,1.523,0.485,0.746,217.29,4.8875,9.6,2319.239,11887.9,10210.8,6.7
102,Jun-10,2.4,1.494,0.484,0.739,217.199,4.7375,9.4,2235.229545,11895,10231.3,6.5
103,Jul-10,2.453,1.441,0.484,0.749,217.605,4.564,9.4,2210.27381,11910.8,10268.1,6.4
104,Aug-10,2.502,1.519,0.489,0.743,217.923,4.4275,9.5,2205.281364,11949.7,10307.1,6.5
105,Sep-10,2.398,1.753,0.483,0.723,218.275,4.346,9.5,2298.34619,11949.4,10327.1,6.5
106,Oct-10,2.397,1.456,0.472,0.714,219.035,4.225,9.4,2441.295714,11950.4,10386.4,6.3
107,Nov-10,2.394,1.675,0.446,0.71,219.59,4.3,9.8,2530.989524,11960.5,10433.6,6.1
108,Dec-10,2.378,1.793,0.441,0.728,220.472,4.714,9.3,2631.560455,12030.1,10471,6.5
109,Jan-11,2.533,1.806,0.477,0.742,221.187,4.755,9.1,2717.2085,12084.4,10514.3,6.9
110,Feb-11,2.659,1.708,0.494,0.747,221.898,4.9525,9,2783.535789,12117,10540.6,7.2
111,Mar-11,2.715,1.732,0.508,0.745,223.046,4.836,9,2722.28913,12083.3,10619.7,6.6
112,Apr-11,2.722,1.727,0.5,0.734,224.093,4.84,9.1,2797.072,12061.3,10652.1,6.6
113,May-11,2.694,1.692,0.521,0.767,224.806,4.6375,9,2815.075714,12043.2,10672.2,6.5
114,Jun-11,2.774,1.683,0.528,0.755,224.806,4.51,9.1,2687.762727,12087.9,10694.8,6.7
115,Jul-11,2.818,1.647,0.533,0.716,225.395,4.545,9,2810.5755,12128.6,10731.6,6.9
116,Aug-11,2.819,1.711,0.537,0.715,226.106,4.27,9,2504.623043,12120.6,10750.3,6.9
117,Sep-11,2.868,1.947,0.55,0.719,226.597,4.106,9,2524.13619,12104,10783.2,6.5
118,Oct-11,2.876,1.871,0.542,0.767,226.75,4.0675,8.8,2594.781905,12117,10802.9,6.5
119,Nov-11,2.899,1.836,0.517,0.752,227.169,3.9925,8.6,2606.289048,12112.6,10806.8,6.6
120,Dec-11,2.921,1.874,0.51,0.729,227.223,3.958,8.5,2601.67,12227.3,10817.8,7.5
121,Jan-12,3.005,1.939,0.528,0.739,227.842,3.915,8.3,2743.795,12311.1,10896.8,7.8
122,Feb-12,2.947,1.798,0.528,0.718,228.329,3.89,8.3,2928.9805,12384.8,10987.2,7.8
123,Mar-12,3.016,1.774,0.519,0.7,228.807,3.954,8.2,3035.915909,12431.1,10993.9,8.2
124,Apr-12,2.998,1.829,0.515,0.696,229.187,3.91,8.2,3035.1015,12486.5,11018.5,8.5
125,May-12,2.995,1.691,0.513,0.677,228.713,3.798,8.2,2900.409091,12490.2,11006.8,8.6
126,Jun-12,3.007,1.67,0.519,0.681,228.524,3.675,8.2,2850.354762,12482.6,10989.8,8.6
127,Jul-12,3.085,1.648,0.516,0.681,228.59,3.55,8.2,2920.114286,12396.5,11016.8,7.8
128,Aug-12,2.991,1.884,0.531,0.683,229.918,3.602,8.1,3032.666522,12364.4,11056,7.6
129,Sep-12,3.024,1.889,0.528,0.684,231.015,3.4975,7.8,3136.802632,12453.3,11105.3,8.1
130,Oct-12,,1.96,0.509,0.685,231.638,3.3825,7.8,3060.261905,12538.2,11137.4,8.7
131,Nov-12,3.175,1.963,0.497,0.704,231.249,3.352,7.7,2941.015238,12702.9,11178.4,9.5
132,Dec-12,3.08,2.007,0.5,0.714,231.221,3.345,7.9,3003.792,13011.6,11181.2,11.6
133,Jan-13,3.407,1.933,0.524,0.715,231.679,3.414,8,3125.913333,12258.9,11245.8,5.9
134,Feb-13,3.379,1.965,0.524,0.708,232.937,3.5325,7.7,3169.213158,12224.9,11282.1,5.6
135,Mar-13,3.332,1.925,0.499,0.714,232.282,3.565,7.5,3236.167,12262.1,11268.9,5.9
136,Apr-13,3.268,1.918,0.522,0.724,231.797,3.445,7.6,3251.351818,12299,11259.3,6.2
137,May-13,3.311,1.87,0.53,0.702,231.893,3.536,7.5,3440.375455,12358.6,11295.1,6.4
138,Jun-13,3.382,1.859,0.533,0.723,232.445,4.07,7.5,3416.7415,12361.7,11318.5,6.5
139,Jul-13,3.459,1.833,0.53,0.721,232.9,4.37,7.3,3559.710909,12350.6,11346.8,6.3
140,Aug-13,3.454,1.838,0.529,0.737,233.456,4.456,7.2,3639.928636,12379.6,11376.9,6.4
141,Sep-13,3.502,1.897,0.522,0.741,233.544,4.49,7.2,3731.262,12431.5,11413.9,6.5
142,Oct-13,3.389,1.925,0.516,0.734,233.669,4.192,7.2,3848.202174,12395.1,11465.2,6
143,Nov-13,3.477,1.925,0.517,0.729,234.1,4.255,6.9,3957.5325,12426.2,11531.3,5.8
144,Dec-13,3.46,2.026,0.513,0.735,234.719,4.4575,6.7,4075.884762,12452.7,11558.6,6
145,Jan-14,3.467,2.008,0.543,0.731,235.288,4.432,6.6,4154.360952,12513.3,11543.7,6.7
146,Feb-14,3.555,1.998,0.555,0.732,235.547,4.3025,6.7,4199.451053,12579.5,11615.4,6.6
147,Mar-14,3.698,2.061,0.551,0.733,236.028,4.3425,6.7,4276.359048,12648.6,11695.2,6.7
148,Apr-14,3.808,2.119,0.547,0.75,236.468,4.3375,6.2,4119.30619,12699,11737.4,6.9
149,May-14,3.856,1.996,0.532,0.739,236.918,4.192,6.3,4135.374286,12745,11778.6,7.1
150,Jun-14,3.88,1.948,0.532,0.742,237.231,4.1625,6.1,4332.738571,12797.2,11838,7.1
151,Jul-14,3.884,1.95,0.527,0.758,237.498,4.13,6.2,4434.125909,12835.1,11879.2,7.2
152,Aug-14,4.013,1.979,0.531,0.737,237.46,4.115,6.1,4464.831429,12896.3,11958.8,7
153,Sep-14,4.096,1.97,0.513,0.746,237.477,4.1625,5.9,4551.58619,12938.8,11964.9,7.2
154,Oct-14,4.154,1.951,0.501,0.723,237.43,4.036,5.7,4403.230435,12995.3,12035.5,7.1
155,Nov-14,4.201,2.032,0.515,0.717,236.983,3.9975,5.8,4687.702105,13062.8,12058.4,7.3
156,Dec-14,4.156,2.21,0.511,0.7,236.252,3.864,5.6,4732.701364,13150.5,12067.6,7.7
157,Jan-15,4.235,2.113,0.545,0.692,234.747,3.67,5.7,4673.7015,13224.7,12036.5,8
158,Feb-15,4.238,2.088,0.525,0.689,235.342,3.71,5.5,4854.255789,13271.8,12083.1,8.1
159,Mar-15,4.2,2.133,0.518,0.67,235.976,3.77,5.4,4938.010909,13233.7,12132.2,7.7
160,Apr-15,4.231,2.065,0.509,0.67,236.222,3.672,5.4,4985.951429,13262.8,12170.3,7.6
161,May-15,4.136,1.962,0.52,0.676,237.001,3.84,5.6,5029.4315,13284.7,12233.6,7.5
162,Jun-15,4.221,2.57,0.519,0.691,237.657,3.9825,5.3,5073.041818,13292.7,12270.3,7.4
163,Jul-15,4.2,2.57,0.515,0.673,238.034,4.046,5.2,5082.81,13324.1,12327.5,7.3
164,Aug-15,4.159,2.943,0.524,0.669,238.033,3.905,5.1,4934.622857,13354.9,12359.3,7.3
165,Sep-15,4.126,2.966,0.517,0.662,237.498,3.89,5,4748.004762,13392,12356.4,7.4
166,Oct-15,4.083,2.808,0.511,0.69,237.733,3.796,5,4879.036818,13419.8,12362.3,7.5
167,Nov-15,4.113,2.664,0.496,0.732,238.017,3.9425,5.1,5082.5075,13417.7,12397.5,7.3
168,Dec-15,4.06,2.751,0.501,0.711,237.761,3.964,5,5040.54,13482,12432.8,7.4
169,Jan-16,3.978,2.328,0.522,0.709,237.652,3.8725,4.8,4610.714211,13531.6,12452.1,7.7
170,Feb-16,3.964,2.267,0.522,0.707,237.336,3.66,4.9,4463.206,13546.1,12526.3,7.2
171,Mar-16,3.955,2.081,0.512,0.711,238.08,3.694,5,4754.479545,13547.2,12506.8,7.6
172,Apr-16,3.815,1.793,0.521,0.703,238.992,3.605,5.1,4892.168095,13522,12586,7.2
173,May-16,3.717,1.684,0.525,0.747,239.557,3.6,4.8,4788.235238,13515.1,12624.4,6.9
174,Jun-16,3.725,1.491,0.529,0.734,240.222,3.568,4.9,4856.232273,13521.5,12701.7,6.6
175,Jul-16,3.69,1.546,0.543,0.74,240.101,3.44,4.8,5023.989,13567.1,12720.6,6.8
176,Aug-16,3.657,1.455,0.546,0.729,240.545,3.435,4.9,5217.038261,13578.9,12749.8,6.8
177,Sep-16,3.665,1.471,0.547,0.721,241.176,3.46,5,5254.154286,13608.3,12806.8,6.8
178,Oct-16,3.679,1.39,0.523,0.697,241.741,3.47,4.9,5255.989048,13627.7,12828.1,6.9
179,Nov-16,3.597,1.321,0.507,0.703,242.026,3.77,4.7,5260.565238,13657.8,12853.6,7
180,Dec-16,3.559,1.383,0.503,0.693,242.637,4.198,4.7,5413.116667,13685.3,12962.9,6.5
181,Jan-17,3.553,1.599,0.53,0.7,243.618,4.15,4.7,5561.4235,13742.1,13015.1,6.9
182,Feb-17,3.557,1.464,0.526,0.695,244.006,4.1675,4.6,5764.702105,13792.3,13034.7,7.2
183,Mar-17,3.594,1.404,0.531,0.692,243.892,4.196,4.4,5864.963913,13851.3,13089.6,7.2
184,Apr-17,3.547,1.409,0.516,0.686,244.193,4.045,4.4,5912.169474,13869.6,13127.7,7.2
185,May-17,3.559,1.414,0.517,0.726,244.004,4.01,4.4,6124.878182,13962.6,13128.7,7.8
186,Jun-17,3.679,1.332,0.507,0.752,244.163,3.904,4.3,6224.285909,13963.5,13176.8,7.5
187,Jul-17,3.754,1.333,0.512,0.764,244.243,3.9675,4.3,6294.674,13999.9,13198.3,7.6
188,Aug-17,3.732,1.367,0.512,0.753,245.183,3.88,4.4,6311.397391,14015.8,13241,7.6
189,Sep-17,3.707,1.422,0.505,0.741,246.435,3.805,4.3,6428.079,14030.9,13365.1,7.3
190,Oct-17,3.688,1.54,0.5,0.723,246.626,3.895,4.2,6603.011364,14062.7,13394.8,7.4
191,Nov-17,3.638,1.506,0.469,0.712,247.284,3.922,4.2,6796.045238,14078.4,13495.7,7
192,Dec-17,3.708,1.815,0.462,0.711,247.805,3.95,4.1,6889.7405,14111.5,13601.8,6.6
193,Jan-18,3.641,1.769,0.471,0.682,248.743,4.0325,4,7279.498095,14211.4,13620.1,7.4
194,Feb-18,3.642,1.755,0.47,0.691,249.439,4.33,4.1,7161.772632,14250.1,13657.2,7.6
195,Mar-18,3.657,1.831,0.468,0.682,249.581,4.444,4,7311.505714,14298.3,13725,7.6
196,Apr-18,3.73,2.081,0.472,0.685,250.146,4.4675,4,7084.141095,14329.5,13809.3,7.4
197,May-18,3.685,1.987,0.469,0.698,250.779,4.586,3.8,7339.327364,14373.2,13872.1,7.5
198,Jun-18,3.729,1.628,0.469,0.689,251.118,4.57,4,7645.139143,14416.2,13912.9,7.6
199,Jul-18,3.745,1.725,0.468,0.69,251.323,4.5275,3.8,7756.863143,14467,13962.6,7.6
200,Aug-18,3.792,1.622,0.464,0.705,251.749,4.55,3.8,7892.232391,14509.6,14014.5,7.6
201,Sep-18,3.743,1.651,0.467,0.693,252.239,4.6275,3.7,7983.307368,14498.8,14030.7,7.6
202,Oct-18,3.714,1.66,0.453,0.685,252.862,4.83,3.8,7527.083391,14527.7,14119.6,7.4
203,Nov-18,3.781,1.596,0.433,0.711,252.657,4.866,3.8,7236.08319,14550.4,14187.8,7.2
204,Dec-18,3.725,1.595,0.437,0.712,252.551,4.6375,3.9,6814.292316,14719.3,14050.6,9
205,Jan-19,3.801,1.554,0.439,0.73,252.47,4.464,4,6979.654952,14714.3,14104.4,8.7
206,Feb-19,3.758,1.557,0.443,0.762,253.135,4.37,3.8,7430.077263,14742.1,14117.9,8.8
207,Mar-19,3.725,1.544,0.445,0.757,254.273,4.265,3.8,7629.366048,14732.5,14244.4,8.2
208,Apr-19,3.775,1.463,0.434,0.767,255.163,4.1425,3.6,7995.064364,14678,14329.3,7.7
209,May-19,3.822,1.362,0.454,0.761,255.325,4.072,3.6,7804.820818,14673.5,14372.2,7.4
210,Jun-19,3.812,1.203,0.448,0.801,255.361,3.8025,3.6,7825.45865,14686.4,14425.7,7.2
211,Jul-19,3.8,1.243,0.454,0.798,255.9,3.765,3.7,8205.598727,14703.7,14487.4,7
212,Aug-19,3.819,1.219,0.45,0.793,256.179,3.616,3.7,7910.932227,14777.8,14536.4,7.2
213,Sep-19,3.851,1.383,0.449,0.797,256.596,3.605,3.5,8087.6999,14807.9,14564.7,7.3
214,Oct-19,3.841,1.282,0.432,0.773,257.305,3.688,3.6,8079.278217,14821.4,14607.9,7.4
215,Nov-19,3.812,1.405,0.417,0.721,257.788,3.695,3.6,8517.57705,14885.9,14667.6,7.5
216,Dec-19,3.862,1.535,0.429,0.714,258.263,3.72,3.6,8778.591476,14844.1,14686.3,7.3
217,Jan-20,3.886,1.461,0.438,0.716,258.682,3.624,3.5,9233.359905,14976.5,14769.9,7.8
218,Feb-20,3.865,1.449,0.438,0.734,259.007,3.465,3.5,9418.850105,15068.8,14785.1,8.3
219,Mar-20,3.881,1.525,0.442,0.733,258.165,3.45,4.4,7772.205136,14844,13762.2,13.1
220,Apr-20,4.052,2.019,,,256.094,3.306,14.7,8292.407762,17170.7,12021.8,33.8
221,May-20,4.461,1.64,0.461,0.748,255.944,3.2325,13.2,9105.65565,16333,13058.1,24.8
222,Jun-20,4.737,1.554,0.468,0.749,257.217,3.1625,11,9839.970955,16057.3,13889.3,19.3
223,Jul-20,4.264,1.401,0.461,0.772,258.543,3.016,10.2,10499.86291,16151.9,14129.2,18.7
224,Aug-20,4.177,1.328,0.459,0.769,259.58,2.935,8.4,11212.29038,15553.9,14270.5,15
225,Sep-20,4.076,1.353,0.451,0.777,260.19,2.89,7.9,11088.67952,15643.4,14481.7,14.3
226,Oct-20,4.008,1.408,0.452,0.766,260.352,2.834,6.9,11435.23386,15568.4,14546,13.6
227,Nov-20,4.027,1.45,0.445,0.791,260.721,2.765,6.7,11794.46131,15366.5,14467.3,13
228,Dec-20,3.951,1.481,0.45,0.789,261.564,2.684,6.7,12619.05091,15393.8,14389.5,14
229,Jan-21,3.965,1.466,0.446,0.794,262.2,2.735,6.4,13186.60579,16988.6,14857.9,19.9
230,Feb-21,3.987,1.597,0.44,0.779,263.346,2.81,6.2,13737.40368,15548.2,14699.6,13.5
231,Mar-21,4.042,1.625,0.436,0.772,265.028,3.0825,6,13168.8113,19119.5,15458.9,26.6
232,Apr-21,4.096,1.62,0.437,0.785,266.727,3.06,6,13900.4381,16146.9,15618.7,12.6
233,May-21,4.101,1.625,0.439,0.801,268.599,2.9625,5.8,13517.6825,15669.5,15624.4,10.4
234,Jun-21,4.357,1.642,0.356,0.778,270.955,2.975,5.9,14097.16909,15603.3,15802,9.5
235,Jul-21,4.388,1.642,0.368,0.782,272.184,2.868,5.4,14639.07286,15735.2,15814.9,10.5
236,Aug-21,4.468,1.709,0.371,0.784,273.092,2.8425,5.2,14856.51773,15720,15991.1,9.8
237,Sep-21,4.504,1.835,0.382,0.798,274.214,2.9,4.7,15023.53857,15466.3,16088.9,8.1
